topic,tweet_text,tweet_char_count
COVID-19,indias gift of 100000 covid19 vaccines arrived barbados earlier today this was a very special moment for all barbadians and i want to thank prime minister modi for his quick decisive and magnanimous action in allowing us to be the beneficiary of these vaccines ,261
COVID-19,as part of the ongoing nationwide vaccination rollout that has seen more than 230000 people vaccinated president kagame and first lady jeannette kagame received their covid19 vaccines at king faisal hospital ,208
COVID-19,pleased to receive 50000 doses of covid19 vaccines from india this morning govt of rwanda  is grateful to the govt of india  and other partner countries for their valuable contribution to the fight against covid19 drsjaishankar,227
COVID-19,four former presidents have banded together for two national ad campaigns released thursday designed to drive trust in covid19 vaccines  and theyre all pictured getting inoculated against the virus ,198
COVID-19,wsj all three of russias main intelligence services svr fsb and gru ran fake news sites and phony social media accounts to spread misinformation about pfeizer and moderna vaccines in an attempt to undermine confidence in them  via wsj,234
COVID-19,joel embiid will donate his 100k asw earnings to three homeless shelters in philly to help provide meals clothing items treatment and care for those who get covid19 vaccines funds for a summer camp shelter for 300 teens support for formerly homeless families  ,260
COVID-19,action can be taken now to ensure that canada can produce its own vaccines without the need to solely rely on international partners mossmanlab makes the case for macglobalnexus fitzhenry vector lab to produce covid19 vaccine doses for all canadians ,250
COVID-19,those who falsely claim vaccines are 100 safe and who laugh at antivaxxers will be dependent on those who refuse to tell the official lies to say that widespread vaccination is critical 23 die in norway after receiving covid19 vaccine  via nypost,246
COVID-19,additionally beginning monday april 5 all michiganders age 16 who were not previously eligible will be eligible to receive a vaccine this is exciting news and i urge all eligible michiganders to get one of the three safe and effective covid19 vaccines,251
COVID-19,the eu and italy have blocked astrazenecas covid19 vaccine shipment destined for australia after the drug manufacturer failed to deliver the doses it promised europe ,166
COVID-19,this week team osuwexmed administered some of the first johnson amp johnson covid19 vaccines  the only singledose shot authorized by the fda were working to ramp up its production because a third safe and effective vaccine means we can vaccinate more people more quickly ,271
COVID-19,nc is ranked 1 in the us for vaccinations of adults over 65 way to go nc i am so proud of our vaccine providers across north carolina and the amazing team at ncdhhs for all their hard work getting vaccines into arms quickly and equitably   ,240
COVID-19,all three vaccines authorized in the us  made by johnson amp johnson moderna and pfizer and biontech  greatly reduce the risk of getting covid19 they also have a high efficacy against more serious outcomes like hospitalization and death see more ,246
COVID-19,in simulations getting people vaccinated sooner with a lower efficacy vaccine prevented many more covid19 cases hospitalizations and deaths compared to waiting even just a month for a higher efficacy vaccine ,208
COVID-19,the navajo nation has surpassed its goal of administering 100000 covid19 vaccines by the end of february a figure that represents over half of its residents our work to increase supply increase places to get vaccinated and increase vaccinators is making a difference,266
COVID-19,cvs has nearly doubled the number of states where its pharmacies are offering covid19 vaccinations through bidens federal retail pharmacy program cvs said in a statement it is now offering covid19 vaccines in 29 states and puerto rico,234
COVID-19,alaska has become the first state to drop eligibility requirements for covid19 vaccines and allow anyone 16 or older who lives or works in the state to get a vaccine gov dunleavy says ,184
COVID-19,president biden announced expanded anticovid vaccines and that all adults will be eligible by may 1 my cinco de mayo birthday wish is now one shot vaccine and one shot tequila,175
COVID-19,the good news rating agency moodys projects india to grow at 137 in fy2022 up from 108 estimated earlier the revised numbers came on the back of normalisation of activity and growing confidence in the market with the rollout of covid19 vaccines ,245
COVID-19,it was great to be in sumterville today to announce a new drivethru vaccination site which will provide 3000 johnson amp johnson vaccines to floridians 65 and older over the next three days seniorsfirst more here   ,215
COVID-19,we have reached an agreement with biontechpfizer for the supply of four million more doses of covid19 vaccines for eu countries in the next two weeks this will help tackle coronavirus hotspots and facilitate free border movement strongertogether,245
COVID-19,in 1956 elvis was vaccinated backstage at edsullivanshow inspiring thousands to get the polio vaccination with covid19 vaccines becoming available and many americans uncertain three former presidents are talking about following in his footsteps  ,246
COVID-19,india has provided over 481 lakh doses of covid vaccines to various countries till march 4 out of 48106 lakh vaccine doses sent to various countries 735 lakh doses have been supplied as grant assistance 2884 lakh on commercial basis and 11916 lakh doses for covax,263
COVID-19,whoopi receives covid19 vaccine our whoopigoldberg tells us she received her first shot of the coronavirus vaccine and encourages others to do the same get the shot get more information on covid19 vaccines  ,207
COVID-19,vaccines are extremely effective at preventing severe covid illness and death but no vaccine is perfect continue masking up,123
COVID-19,russian intelligence agencies have mounted a campaign to undermine confidence in pfizer incs and other western vaccines ,120
COVID-19,extent of damage to astrazeneca vaccines perceived safety in europe revealed  saying they would refuse this vaccine and wait for a diff one astrazeneca 27 22  23 19 2 pfizer 6 7  7 5 4 moderna 12 11  11 6 5  ,208
COVID-19,unusual swelling caused by covid19 vaccines is being picked up on routine mammograms and other scans radiologists say heres what you can do to avoid unnecessary worries about breast and other forms of cancer when you get your vaccination ,238
COVID-19,an exciting day for us as uganda received the initial batch of 864000 doses of astrazeneca covid19 vaccines manufactured by the serum institute of india and shipped via the covax facility thank you to all who made this possible ,228
COVID-19,im pleased to announce that cvshealth will soon begin administering covid19 vaccines at 76 additional cvspharmacy locations across our state bringing the total number of cvs vaccination locations in fl to 157 in 30 counties more info here   ,241
COVID-19,with three covid19 vaccines available and a steadily increasing supply we are now able to open up eligibility to all phase 3 priority groups new appointments for phase 3 will post to the portal at midnight learn more  ,218
COVID-19,globally the latest vaccination rate is 6582835 doses per day on average at this rate it will take an 47 years to cover 75 of the population with a twodose vaccine and the inequality is widening lmic countries need covidvaccine faster  ,236
COVID-19,alaska makes vaccines available to those 16 and older becoming first state to remove eligibility requirements ,110
COVID-19,at yankee stadium new yorkers are waiting for vaccines in the middle of the night  and happy about it ,102
COVID-19,vaccines work by triggering a response in a persons immune system that means some people will feel a little sore tired or unwell after their covid19 vaccination most side effects are mild and should not last longer than a week more on the vaccine  ,248
COVID-19,today the australian government launched australias covid19 vaccination program with the first vaccinations held in sydney more details on the rollout of safe and effective covid19 vaccines is here  ,199
COVID-19,laurawbush and i are grateful to have been vaccinated against covid19 these safe and effective vaccines are our way out of this pandemic and toward recovery and renewal so when its your turn roll up your sleeve and do your part president bush adcouncil thecovidcollab ,268
COVID-19,the first batch 11 million astrazeneca covid19 vaccines arrived in indonesia today under the global vaccinesharing scheme covax facility coled by who and global vaccine alliance indonesia is looking to secure at least 137 million doses of astrazeneca vaccines ,260
COVID-19,we have transported and delivered the first batch of covid19 vaccines to ethiopia the shipment has arrived today and delivered to the ethiopian moh in a ceremony held in our cargo terminal we will keep on providing this missioncritical service to save lives flyethiopian ,271
COVID-19,during the past two weeks unicef and partners have delivered over 15 million covid19 vaccine doses to countries through covax together with who gavi and cepivaccines were working to make vaccines available to everyone ,218
COVID-19,after a troop of eight western lowland gorillas got sick in january san diego zoo staff received experimental covid19 vaccines to give to great apes in their care including bonobos and orangutans ,196
COVID-19,covid19 vaccines have arrived in   a fantastic day hongera to all who made this happen mohkenya gavi whokenya unicef cepivaccines we played our part  kes 84 billion to covax a   health partnership and science  between kemrikenya amp oxfordvacgroup ,248
COVID-19,angola  cte divoire  ghana  kenya  nigeria  rwanda  have all started rolling out covid19 vaccines this week through covax  starting with health workers teachers and people most at risk unicefsupply who gavi cepivaccines ,220
COVID-19,the secretary to the government of the federation sgf mr boss mustapha and members of the presidential task force on covid19 will receive their doses of the oxfordastrazeneca covid19 vaccines today the sgf office has said in a statement,236
COVID-19,everyone in wisconsin 16 and older will be eligible for covid19 vaccines in may dhs deputy secretary julie willems van dijk says in a press briefing,148
COVID-19,teachers and staff in prek12 schools and childcare programs under age 50 can receive a vaccine at a kroger walmart and meijer teachers 50 can be vaccinated anywhere in the state visit  to find an eligible location  ,215
COVID-19,new data shows that both the pfizeruk and astrazeneca vaccines are highly effective in reducing covid19 infections among people aged 70 years and over watch deputy chief medical officer professor jonathan van tam explain  find out more  ,237
COVID-19,the messenger rna technology that developed a successful covid19 vaccine could serve as the solution for hiv sickle cell and malaria vaccines ,142
COVID-19,tonight fiji received 12000 doses of the astrazeneca covid19 vaccine through covax no nation can be safe from this virus until we all are that is why we are working to secure more safe and effective covid19 vaccines and secure our peoples place in the worlds recovery ,268
COVID-19,from a public health perspective it is completely ridiculous and counterproductive to charge people for covid19 vaccines thats why all countries except india are providing it free to residents ,193
COVID-19,president biden says theyve made plans to buy an additional 100m covid19 vaccines and expect to have enough vaccine for all adults by the end of may,148
COVID-19,today the first university of oxfordastrazeneca vaccinations have been taking place in cte divoire helping to protect vulnerable people from covid19 the uk has pledged 548m to covax which is working to deliver vaccines to 92 low and lowermiddle income countries ,262
COVID-19,im feeling great 24 hours after taking my second dose of covid19 vaccine these vaccines are safe and effective and are how well get past this pandemic when youre eligible get your vaccine and do your part to beat covid19 lagov ,227
COVID-19,sbs has today released videos in more than 60 languages including auslan informing communities about australias covid19 vaccination rollout plan how vaccines work and how they are approved in australia vaccineaustralia covid19  ,228
COVID-19,a new vaccine partnership agreed between the united states japan india and australia plans to flood asian and pacific island nations with at least 1 billion covid vaccine doses by 2022 ,185
COVID-19,the more covid spreads globally the more it will mutate into strains that are more infectious more deadly and more resistant to vaccines we agree with senbooker to truly end the pandemic biden must take bold steps to ramp up global vaccine access ,247
COVID-19,note covid19 vaccines are very safe with high efficacy particularly in preventing severe disease hospitalization and death  dr phionah atuhebwe covidvaccinationug mohdelivers,174
COVID-19,president biden under intense pressure to donate excess coronavirus vaccines to needy nations moved to address the global shortage in another way  by partnering with japan india and australia to expand global vaccine manufacturing capacity ,240
COVID-19,men and women tend to respond differently to many kinds of vaccines including the covid19 vaccines researchers say it is probably because of a mix of factors including hormones genes and the dosing of the shots ,211
COVID-19,in good news the us 7day average of vaccines administered has exceeded 2 million for the first time and is only increasing  ,124
COVID-19,the united states the wealthiest nation in the world with the highest number of covid19 deaths  now over half a million  should be leading the charge to share lifesaving vaccines and treatments around the globe ,211
COVID-19, ghana and ivory coast are the first nations in the world to receive covid19 vaccines through covax the global vaccine equity scheme aims to provide at least 2 billion doses to lowerincome countries  ,200
COVID-19,africa needs access to covid19 vaccines in sufficient quantities quickly and at affordable pricesemmanuelmacron aucmoussafaki cyrilramaphosa billgates kgeorgieva noiweala antonioguterres potus paulkagame drtedros abiyahmedali kamalaharris aminajmohammed,253
COVID-19,thank you to the government of india for the donation of the 100000 doses of the astrazeneca vaccine the vaccines arrived this afternoon and is a boost to our covid19 vaccination exercise that will start on 10 march 2021 ,221
COVID-19,pfizer and biontech will exceed their original global target for covid19 vaccines by as much as 20 this year pfizer chief executive albert bourla told reuters  ,160
COVID-19,you may experience side effects after your covid19 vaccine this is because vaccines work by triggering a response in a persons immune system most side effects are mild and only last a short time more on the vaccine   ,217
COVID-19,it was just this week that we found out the johnson amp johnson vaccine was approved now on friday those vaccines are going into minnesotans arms   to the vikings team who stepped up and set up a vaccination site in record time thank you fighting covid is a team effort ,270
COVID-19,jj vaccine does what moderna and pfizer do  it keeps you protected from severe covid and prevents hospitalization and death when my patients ask me which vaccine to take trust that ill be telling them to take any of the three vaccines they can get,247
COVID-19,great to be at concordia lutheran church in brevard county to announce an additional vaccination site that will provide 4000 johnson amp johnson vaccines over four days to seniors age 65 and older more here   ,209
COVID-19,i see that astrazeneca paid a lot to media but truth is that their vaccine as all covid19 vaccines are unproved and may or may not prevent covid19  evidence in my blog rest is propaganda loves if someone says opposite heshe is paid to state it ,244
COVID-19,alaska makes vaccines available to those 16 and older becoming 1st state to remove eligibility the state has become a leader in quickly vaccinating its residents benefiting from relationships with tribal health organizations requirements ,238
COVID-19,dr ashish jha says on theherald podcast we now have a pretty high degree of certainty that covid vaccines reduce transmission and says his best guess is that they reduce transmission by 7090 ,191
COVID-19,south africa india and more than 100 other nations have called on the world trade organization to temporarily waive patents for covid19 vaccines  ,146
COVID-19,the fda set a goal for covid19 vaccines trials of an efficacy rate of at least 50 and a confidence interval lower bound of no lower than 30 here are efficacy confidence intervals from major coronavirus vaccine trials  ,218
COVID-19,creating the foundation today to address challenges of tomorrow were evaluating a 3rd dose of our covid19 vaccine against current amp new variants were also discussing regulatory pathways similar to that of the flu vaccine to adapt vaccines if needed ,251
COVID-19,breaking the richmond and henrico health districts today will begin registering people in the rest of phase 1b for covid19 vaccines including those 1664 with preexisting conditions,180
COVID-19,this month two of cubas homegrown covid vaccines soberana 02 and abdala will commence finalstage clinical trials and scale up production with immunization of atrisk groups slated for late march  ,195
COVID-19,the vaccines approved for use in the uk have been developed by pfizerbiontech and oxfordastrazeneca they have met strict standards of safety quality and effectiveness read more  ,178
COVID-19,reuters  the us centers for disease control and prevention cdc said on wednesday people who have been given full doses of the coronavirus vaccine no longer need to quarantine after an exposure to someone with the covid19 disease cdcgov ,236
COVID-19,several states have moved from riskbased to agebased systems for distributing covid19 vaccines people with highrisk disabilities say that change cast them aside  and that they shouldve been prioritized ,202
COVID-19,two new covid19 vaccine locations open tomorrow in miamidade county allen park community center miami springs community center they will open from 9am5pm and will administer 500 vaccines first come first serve with no appointments,230
COVID-19,countries have developed national deployment amp vaccination plans ndvp to prepare for covid19 vaccines introduction once an ndvp is reviewed amp approved and other requirements met  that country can be allocated vaccines from the covax facility ,246
COVID-19,unicef has made a uturn and included kenya airways in the list of 15 airlines contracted to transport covid19 vaccines  business daily,134
COVID-19,president biden called on states to make all adults in the us eligible for covid19 vaccines by may 1 and set a goal for the public to be able to gather in small groups during independence day weekend ,200
COVID-19,new yorkers 60 and older will now be eligible to receive covid19 vaccines beginning on wednesday that means people like as old as i am will now be eligible for the vaccine gov andrew cuomo 63 said ,197
COVID-19,reupping this latest entry in a 2monthlong thread collecting and discussing data that shows as hoped and expected vaccines are effective at reducing transmission of covid19 ,173
COVID-19,no youre misinformed goal of covax is to guarantee fair and equitable access to covid19 vaccines for every country in the world 92 low to middle income are eligible incl indonesia amp vietnam likewise 42 selffinancing countries wanted access incl jpn can aus amp sgp  ,268
COVID-19,as covid19 continues to spread new variants could undermine the effectiveness of vaccines therapeutics and diagnostics leading to increased human and economic suffering  ,170
COVID-19,we are watching israels covid19 deaths drastically fall in realtime all of the data shows the vaccines have been enormously effective at both reducing spread and reducing the seriousness of the virus anyone suggesting otherwise is not telling you the truth ,257
COVID-19,on 28th february 2021 a rally involving nearly 350 cars was held in the township of brampton in the greater toronto area to mark the cooperation between new delhi and ottawa over the supply of madeinindia covid19 vaccines to canada indiancovidsheilds strongrelations,266
COVID-19,reutersipsos polling shows most americans want to know who got the covid19 vaccine and a majority support workplace and lifestyle restrictions for those who are not vaccinated  let us know what you think in the polls below  ,224
COVID-19,covid19 homeless people and rough sleepers will be prioritised for coronavirus vaccines the government has announced ,117
COVID-19,today malawi received covid19 vaccine doses shipped via the covax facility a partnership between who  gavi  malawiunicef and cepivaccines  another step towards vaccineequity read more about it here ,198
COVID-19,get the facts about the covid19 vaccine from nychealthcommr the vaccines are safe and offer strong protection from covid19 the vaccines are more than 94 effective you cannot get covid19 from a vaccine learn more  ,213
COVID-19,all 3 vaccines currently available in the us offered extraordinary protection against hospitalizations and deaths from covid19 in clinical trials health officials are urging people to take whatever vaccine theyre offered when its available ,240
COVID-19,breaking biden plans to direct all states tribes and territories to make covid vaccines available to all eligible adults in the country by may 1 ,145
COVID-19,no line for pfizer vaccines at ucsf fresno covid19 equity project right now 31121 1040 am open on a firstcome firstserved drive thru basis to people 65 education and childcare emergency services food and ag and health care  ,224
COVID-19,the vaccine is permissible the vaccine does not lead to change in the dna or future genetic changes muhammad ali tanveer imam at southampton medina mosque received the covidvaccine and reassures his community that it is safe  ,226
COVID-19,despite severe technological barriers some native american tribes are vaccinating their members so efficiently that theyve been able to branch out and offer coronavirus vaccines to people outside of their tribes ,212
COVID-19,ethiopian airlines is set to take a lead role in ferrying covid19 vaccines around the world and expects demand for the service to last for up to three years its head of cargo services said on sunday  ,200
